|"week_id"|"prev_day_id"|"next_day_id"|"birthday"|"dayofweek"|"weekofmonth"
|1|06/26/2019|06/28/2019|06/27/2019|"Thursday"|4
|2|06/27/2019|06/29/2019|06/28/2019|"Friday"|4
|3|06/28/2019|06/30/2019|06/29/2019|"Saturday"|4
|4|06/29/2019|07/01/2019|06/30/2019|"Sunday"|1
|5|06/30/2019|07/02/2019|07/01/2019|"Monday"|1
|6|07/01/2019|07/03/2019|07/02/2019|"Tuesday"|1
|7|07/02/2019|07/04/2019|07/03/2019|"Wednesday"|1
|8|07/03/2019|07/05/2019|07/04/2019|"Thursday"|1
|9|07/04/2019|07/06/2019|07/05/2019|"Friday"|1
|10|07/05/2019|07/07/2019|07/06/2019|"Saturday"|1
|11|07/06/2019|07/08/2019|07/07/2019|"Sunday"|2
|12|07/07/2019|07/09/2019|07/08/2019|"Monday"|2
|13|07/08/2019|07/10/2019|07/09/2019|"Tuesday"|2
|14|07/09/2019|07/11/2019|07/10/2019|"Wednesday"|2
|15|07/10/2019|07/12/2019|07/11/2019|"Thursday"|2
|16|07/11/2019|07/13/2019|07/12/2019|"Friday"|2
|17|07/12/2019|07/14/2019|07/13/2019|"Saturday"|2
|18|07/13/2019|07/15/2019|07/14/2019|"Sunday"|3
|19|07/14/2019|07/16/2019|07/15/2019|"Monday"|3
|20|07/15/2019|07/17/2019|07/16/2019|"Tuesday"|3
|21|07/16/2019|07/18/2019|07/17/2019|"Wednesday"|3
|22|07/17/2019|07/19/2019|07/18/2019|"Thursday"|3
|23|07/18/2019|07/20/2019|07/19/2019|"Friday"|3
|24|07/19/2019|07/21/2019|07/20/2019|"Saturday"|3
|25|07/20/2019|07/22/2019|07/21/2019|"Sunday"|4
|26|07/21/2019|07/23/2019|07/22/2019|"Monday"|4
|27|07/22/2019|07/24/2019|07/23/2019|"Tuesday"|4
|28|07/23/2019|07/25/2019|07/24/2019|"Wednesday"|4
|29|07/24/2019|07/26/2019|07/25/2019|"Thursday"|4
|30|07/25/2019|07/27/2019|07/26/2019|"Friday"|4
|31|07/26/2019|07/28/2019|07/27/2019|"Saturday"|4
|32|07/27/2019|07/29/2019|07/28/2019|"Sunday"|5
|33|07/28/2019|07/30/2019|07/29/2019|"Monday"|5
|34|07/29/2019|07/31/2019|07/30/2019|"Tuesday"|5
|35|07/30/2019|08/01/2019|07/31/2019|"Wednesday"|5
|36|07/31/2019|08/02/2019|08/01/2019|"Thursday"|5
|37|08/01/2019|08/03/2019|08/02/2019|"Friday"|5
|38|08/02/2019|08/04/2019|08/03/2019|"Saturday"|5
|39|08/03/2019|08/05/2019|08/04/2019|"Sunday"|1
|40|08/04/2019|08/06/2019|08/05/2019|"Monday"|1
|41|08/05/2019|08/07/2019|08/06/2019|"Tuesday"|1
|42|08/06/2019|08/08/2019|08/07/2019|"Wednesday"|1
|43|08/07/2019|08/09/2019|08/08/2019|"Thursday"|1
|44|08/08/2019|08/10/2019|08/09/2019|"Friday"|1
|45|08/09/2019|08/11/2019|08/10/2019|"Saturday"|1
|46|08/10/2019|08/12/2019|08/11/2019|"Sunday"|2
|47|08/11/2019|08/13/2019|08/12/2019|"Monday"|2
|48|08/12/2019|08/14/2019|08/13/2019|"Tuesday"|2
|49|08/13/2019|08/15/2019|08/14/2019|"Wednesday"|2
|50|08/14/2019|08/16/2019|08/15/2019|"Thursday"|2
|51|08/15/2019|08/17/2019|08/16/2019|"Friday"|2
|52|08/16/2019|08/18/2019|08/17/2019|"Saturday"|2
|53|08/17/2019|08/19/2019|08/18/2019|"Sunday"|3
|54|08/18/2019|08/20/2019|08/19/2019|"Monday"|3
|55|08/19/2019|08/21/2019|08/20/2019|"Tuesday"|3
|56|08/20/2019|08/22/2019|08/21/2019|"Wednesday"|3
|57|08/21/2019|08/23/2019|08/22/2019|"Thursday"|3
|58|08/22/2019|08/24/2019|08/23/2019|"Friday"|3
|59|08/23/2019|08/25/2019|08/24/2019|"Saturday"|3
|60|08/24/2019|08/26/2019|08/25/2019|"Sunday"|4
|61|08/25/2019|08/27/2019|08/26/2019|"Monday"|4
|62|08/26/2019|08/28/2019|08/27/2019|"Tuesday"|4
|63|08/27/2019|08/29/2019|08/28/2019|"Wednesday"|4
